GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Fuel Trim Bank 1 Short Term(%),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 2(%),Engine Load(%),Engine Load(Absolute)(%),Air Fuel Ratio(Measured)(:1),Air Fuel Ratio(Commanded)(:1),EGR Commanded(%),EGR Error(%),Intake Manifold Pressure(psi),Engine RPM(rpm),O2 Sensor1 Equivalence Ratio(alternate),Commanded Equivalence Ratio(lambda),Mass Air Flow Rate(g/s),O2 Volts Bank 1 sensor 2(V),Intake Air Temperature(°C),Ambient air temp(°C),Engine Coolant Temperature(°C),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Speed (OBD)(km/h)
Thu Oct 28 13:55:24 GMT+02:00 2021,28-oct.-2021 13:55:25.320,3.20112398,46.0793079,0.0,4.500763,380.8109130859375,0.0,8.89924812,0.2633622,4.08809948,0.01775284,7.03125,-0.78125,-,-,-,15.61785221,-,-,-,-,-,1.06243896,-,-,-,-,-,-,-,-,-
Thu Oct 28 13:55:25 GMT+02:00 2021,28-oct.-2021 13:55:26.303,3.20112472,46.07930786,0.0,4.1304,381.163818359375,0.0,8.89924812,0.2633622,4.08809948,0.01775284,7.03125,-0.78125,-,21.96078491,-,15.61785221,-,-,-,3.62594342,1294,1.06243896,-,2.97000003,-,40,-,88,-,-,9
Thu Oct 28 13:55:26 GMT+02:00 2021,28-oct.-2021 13:55:27.302,3.20116456,46.07927346,2.64,3.7900925,389.80474853515625,149.2,8.89924812,0.2633622,4.08809948,0.01775284,7.03125,-0.78125,7.03125,21.96078491,-,15.61785221,-,6.27450991,-93.75,3.62594342,1294,1.06243896,-,2.97000003,0.81999999,40,-,88,-,-,9
Thu Oct 28 13:55:27 GMT+02:00 2021,28-oct.-2021 13:55:28.301,3.2011956,46.07924492,2.87,3.7900925,393.586181640625,145.3,8.75320148,1.14323127,4.5418005,0.04433013,7.03125,-0.78125,7.03125,21.96078491,17.64705849,14.69999981,14.62822247,6.27450991,-93.75,3.62594342,1294,1,0.99511719,2.97000003,0.81999999,40,-,88,85.5,-,9
Thu Oct 28 13:55:28 GMT+02:00 2021,28-oct.-2021 13:55:29.301,3.20123043,46.07921293,3.04,3.7900925,395.40093994140625,133.8,8.88009453,1.28209496,5.17506695,0.06354207,7.03125,-0.78125,7.03125,18.03921509,17.64705849,14.69999981,14.62822247,6.27450991,-93.75,3.33586788,1607,1,0.99511719,3,0.81999999,40,-,88,85.5,-,11
Thu Oct 28 13:55:29 GMT+02:00 2021,28-oct.-2021 13:55:30.301,3.20126175,46.07920496,3.13,3.7900925,393.450439453125,122.7,9.06564426,0.74938512,3.62003303,0.02485698,12.5,-0.78125,12.5,18.03921509,17.64705849,14.69999981,14.62822247,0,99.21875,3.33586788,1607,1,0.99511719,3,0.80500001,40,-,88,92.3999939,-,11
Thu Oct 28 13:55:30 GMT+02:00 2021,28-oct.-2021 13:55:31.301,3.20130419,46.07919731,3.18,3.7900925,394.1824951171875,114.7,7.95832634,0.39384618,5.7891798,0.03316216,6.25,-0.78125,6.25,12.54901981,9.4117651,14.4581995,14.74306583,0,99.21875,2.90075469,1292,0.98355103,1.00292969,1.82000005,0.79499996,40,-,88,92.3999939,-,8
Thu Oct 28 13:55:31 GMT+02:00 2021,28-oct.-2021 13:55:32.301,3.20133784,46.07918481,2.69,3.7900925,395.0625,114.3,8.92079544,1.0486604,3.8678329,0.01080421,6.25,-0.78125,6.25,28.23529434,18.03921509,15.31235027,14.77177715,0,99.21875,3.91601896,905,1.04165649,1.00488281,2.11999989,0.78999996,40,-,88,94.19999695,-,4
Thu Oct 28 13:55:32 GMT+02:00 2021,28-oct.-2021 13:55:33.300,3.20135465,46.07917788,1.38,3.7900925,395.6361083984375,116.6,9.38886166,0.9840169,2.7473464,0.02453199,5.46875,-0.78125,5.46875,69.80392456,63.92156982,14.33393478,14.62822247,15.29411793,-35.15625,8.84730244,1223,0.97509766,0.99511719,7.94000006,0.79499996,40,-,88,94.19999695,-,3
Thu Oct 28 13:55:33 GMT+02:00 2021,28-oct.-2021 13:55:34.301,3.20136303,46.07917457,0.78,3.7900925,396.462890625,124.1,9.35294914,0.67636198,2.57975245,0.02967122,4.6875,-0.78125,4.6875,43.13725662,31.37254906,14.75383282,14.62822247,14.90196037,2.34375,7.3969245,1683,1.00366211,0.99511719,5.46000004,0.78999996,40,-,88,98.19999695,-,4
Thu Oct 28 13:55:34 GMT+02:00 2021,28-oct.-2021 13:55:35.302,3.2013716,46.0791701,1.01,3.7900925,396.4476318359375,131.9,9.32661247,-0.04309563,3.16752887,0.01846939,5.46875,-0.78125,3.90625,43.52941132,38.4313736,14.46358395,15.00325871,0,99.21875,7.97707558,1302,0.98391724,1.02062988,5.76999998,0.78499997,39,-,88,98.19999695,-,9
Thu Oct 28 13:55:35 GMT+02:00 2021,28-oct.-2021 13:55:36.302,3.20138991,46.0791536,2.29,3.7900925,397.0806884765625,148.3,9.35055447,-0.1436521,2.79882169,0.02613344,4.6875,-0.78125,4.6875,52.54901886,39.60784149,15.16341209,15.0678587,18.43137169,-3.90625,8.99234009,1664,1.03152466,1.02502441,8.81999969,0.77499998,39,-,88,107.80000305,-,12
Thu Oct 28 13:55:36 GMT+02:00 2021,28-oct.-2021 13:55:37.305,3.2014042,46.07913013,2.63,3.7900925,396.86865234375,168.5,9.04649067,0.10295067,3.96360087,0.02090962,5.46875,-0.78125,0,32.94117737,27.05882263,15.27601337,15.0678587,23.13725471,-0.78125,6.67173576,2242,1.03918457,1.02502441,7.82999992,0.65499997,39,-,90,107.80000305,-,16
Thu Oct 28 13:55:37 GMT+02:00 2021,28-oct.-2021 13:55:38.303,3.20140898,46.07909942,3.09,3.7900925,396.8433837890625,178.5,9.06325054,0.80205756,3.8666358,0.0200839,0,-0.78125,0,26.66666794,24.70588303,14.69013023,13.77900696,0,99.21875,5.51143408,1205,0.99932861,0.93734741,6.42999983,0.005,39,-,90,119.69999695,-,15
Thu Oct 28 13:55:38 GMT+02:00 2021,28-oct.-2021 13:55:39.303,3.20141414,46.07905978,3.98,3.7900925,396.3897705078125,174.6,9.07641888,0.68474168,3.43208814,0.01781716,0,-0.78125,0,70.19608307,53.33333206,14.56227779,13.77900696,0,99.21875,8.26715088,1230,0.9906311,0.93734741,8.88000011,0.05,39,-,90,119.69999695,-,16
Thu Oct 28 13:55:39 GMT+02:00 2021,28-oct.-2021 13:55:40.301,3.20142174,46.07901672,4.4,3.7900925,396.10955810546875,173.5,9.47026443,0.70269817,3.17830276,0.02505365,0.78125,-0.78125,1.5625,70.98039246,56.07843018,14.21819401,13.77900696,27.05882263,-17.96875,11.16790581,1397,0.96722412,0.93734741,10.93999958,0.73499995,39,-,90,125.69999695,-,18
Thu Oct 28 13:55:40 GMT+02:00 2021,28-oct.-2021 13:55:41.306,3.2014366,46.07896042,5.18,3.7900925,396.4708251953125,172.8,9.22485924,0.54946929,3.04781866,0.02167446,3.125,-0.78125,3.90625,65.09803772,55.68627548,14.6264286,14.83906841,22.74509811,1.5625,10.73279285,1688,0.99499512,1.00946045,11.14999962,0.81,39,-,90,125.69999695,-,22
Thu Oct 28 13:55:41 GMT+02:00 2021,28-oct.-2021 13:55:42.303,3.2014442,46.07890842,6.05,3.7900925,396.5904541015625,173.1,9.05726528,0.56981999,2.907758,0.01417322,3.125,-0.78125,3.125,62.74509811,46.27450943,14.88482666,14.89424706,26.66666603,0,10.00760365,1861,1.01257324,1.01321411,11.56000042,0.76499999,39,-,90,141.6000061,-,24
Thu Oct 28 13:55:42 GMT+02:00 2021,28-oct.-2021 13:55:43.302,3.20145811,46.07884366,6.98,3.7900925,397.2359619140625,173.2,9.51934624,0.57341129,3.10049129,0.03288848,3.125,-0.78125,3.125,60.39215851,44.31372452,14.94359398,14.93103313,29.80392075,0,9.42745304,2159,1.01657104,1.01571655,12.71000004,0.755,39,-,90,141.6000061,-,28
